Date,Open,High,Low,Close,Adj Close,Volume
06-05-19,2908.889893,2937.320068,2898.209961,2932.469971,2932.469971,3181520000
07-05-19,2913.030029,2913.030029,2862.600098,2884.050049,2884.050049,3767100000
08-05-19,2879.610107,2897.959961,2873.280029,2879.419922,2879.419922,3485790000
09-05-19,2859.840088,2875.969971,2836.399902,2870.719971,2870.719971,3638820000
10-05-19,2863.100098,2891.310059,2825.389893,2881.399902,2881.399902,3529600000
13-05-19,2840.189941,2840.189941,2801.429932,2811.870117,2811.870117,3894030000
14-05-19,2820.120117,2852.540039,2820.120117,2834.409912,2834.409912,3322720000
15-05-19,2820.379883,2858.679932,2815.080078,2850.959961,2850.959961,3125950000
16-05-19,2855.800049,2892.149902,2855.800049,2876.320068,2876.320068,3338060000
17-05-19,2858.600098,2885.47998,2854.22998,2859.530029,2859.530029,3257950000
20-05-19,2841.939941,2853.860107,2831.290039,2840.22998,2840.22998,3288870000
21-05-19,2854.02002,2868.879883,2854.02002,2864.360107,2864.360107,3218700000
22-05-19,2856.060059,2865.469971,2851.110107,2856.27002,2856.27002,3192510000
23-05-19,2836.699951,2836.699951,2805.48999,2822.23999,2822.23999,3891980000
24-05-19,2832.409912,2841.360107,2820.189941,2826.060059,2826.060059,2887390000
28-05-19,2830.030029,2840.51001,2801.580078,2802.389893,2802.389893,4121410000
29-05-19,2790.25,2792.030029,2766.060059,2783.02002,2783.02002,3700050000
30-05-19,2786.939941,2799,2776.73999,2788.860107,2788.860107,3273790000
31-05-19,2766.149902,2768.97998,2750.52002,2752.060059,2752.060059,3981020000
03-06-19,2751.530029,2763.070068,2728.810059,2744.449951,2744.449951,3943810000
04-06-19,2762.639893,2804.48999,2762.639893,2803.27002,2803.27002,3810430000
05-06-19,2818.090088,2827.280029,2800.919922,2826.149902,2826.149902,3548830000
06-06-19,2828.51001,2852.100098,2822.449951,2843.48999,2843.48999,3396410000
07-06-19,2852.870117,2884.969971,2852.870117,2873.340088,2873.340088,3220250000
10-06-19,2885.830078,2904.77002,2885.51001,2886.72998,2886.72998,3209210000
11-06-19,2903.27002,2910.610107,2878.530029,2885.719971,2885.719971,3548420000
12-06-19,2882.72998,2888.570068,2874.679932,2879.840088,2879.840088,3034130000
13-06-19,2886.23999,2895.23999,2881.98999,2891.639893,2891.639893,3069810000
14-06-19,2886.820068,2894.449951,2879.620117,2886.97998,2886.97998,2922330000
17-06-19,2889.75,2897.27002,2887.300049,2889.669922,2889.669922,2810140000
18-06-19,2906.709961,2930.790039,2905.439941,2917.75,2917.75,3437620000
19-06-19,2920.550049,2931.73999,2911.429932,2926.459961,2926.459961,3287890000
20-06-19,2949.600098,2958.060059,2931.5,2954.179932,2954.179932,3905940000
